"id","time","value"
"öffnungszeiten",2018-10-21,28
"öffnungszeiten",2018-10-28,27
"öffnungszeiten",2018-11-04,26
"öffnungszeiten",2018-11-11,23
"öffnungszeiten",2018-11-18,26
"öffnungszeiten",2018-11-25,25
"öffnungszeiten",2018-12-02,33
"öffnungszeiten",2018-12-09,31
"öffnungszeiten",2018-12-16,47
"öffnungszeiten",2018-12-23,100
"öffnungszeiten",2018-12-30,75
"öffnungszeiten",2019-01-06,25
"öffnungszeiten",2019-01-13,19
"öffnungszeiten",2019-01-20,24
"öffnungszeiten",2019-01-27,22
"öffnungszeiten",2019-02-03,23
"öffnungszeiten",2019-02-10,23
"öffnungszeiten",2019-02-17,22
"öffnungszeiten",2019-02-24,26
"öffnungszeiten",2019-03-03,23
"öffnungszeiten",2019-03-10,22
"öffnungszeiten",2019-03-17,25
"öffnungszeiten",2019-03-24,23
"öffnungszeiten",2019-03-31,22
"öffnungszeiten",2019-04-07,28
"öffnungszeiten",2019-04-14,53
"öffnungszeiten",2019-04-21,29
"öffnungszeiten",2019-04-28,33
"öffnungszeiten",2019-05-05,21
"öffnungszeiten",2019-05-12,23
"öffnungszeiten",2019-05-19,23
"öffnungszeiten",2019-05-26,35
"öffnungszeiten",2019-06-02,24
"öffnungszeiten",2019-06-09,27
"öffnungszeiten",2019-06-16,23
"öffnungszeiten",2019-06-23,31
"öffnungszeiten",2019-06-30,26
"öffnungszeiten",2019-07-07,24
"öffnungszeiten",2019-07-14,24
"öffnungszeiten",2019-07-21,27
"öffnungszeiten",2019-07-28,38
"öffnungszeiten",2019-08-04,28
"öffnungszeiten",2019-08-11,24
"öffnungszeiten",2019-08-18,22
"öffnungszeiten",2019-08-25,24
"öffnungszeiten",2019-09-01,24
"öffnungszeiten",2019-09-08,26
"öffnungszeiten",2019-09-15,22
"öffnungszeiten",2019-09-22,23
"öffnungszeiten",2019-09-29,26
"öffnungszeiten",2019-10-06,29
"öffnungszeiten",2019-10-13,26
"öffnungszeiten",2019-10-20,26
"öffnungszeiten",2019-10-27,27
"öffnungszeiten",2019-11-03,24
"öffnungszeiten",2019-11-10,23
"öffnungszeiten",2019-11-17,23
"öffnungszeiten",2019-11-24,31
"öffnungszeiten",2019-12-01,28
"öffnungszeiten",2019-12-08,26
"öffnungszeiten",2019-12-15,40
"öffnungszeiten",2019-12-22,79
"öffnungszeiten",2019-12-29,72
"öffnungszeiten",2020-01-05,27
"öffnungszeiten",2020-01-12,20
"öffnungszeiten",2020-01-19,24
"öffnungszeiten",2020-01-26,23
"öffnungszeiten",2020-02-02,20
"öffnungszeiten",2020-02-09,20
"öffnungszeiten",2020-02-16,23
"öffnungszeiten",2020-02-23,22
"öffnungszeiten",2020-03-01,23
"öffnungszeiten",2020-03-08,21
"öffnungszeiten",2020-03-15,31
"öffnungszeiten",2020-03-22,17
"öffnungszeiten",2020-03-29,17
"öffnungszeiten",2020-04-05,27
"öffnungszeiten",2020-04-12,16
"öffnungszeiten",2020-04-19,18
"öffnungszeiten",2020-04-26,28
"öffnungszeiten",2020-05-03,19
"öffnungszeiten",2020-05-10,25
"öffnungszeiten",2020-05-17,34
"öffnungszeiten",2020-05-24,29
"öffnungszeiten",2020-05-31,25
"öffnungszeiten",2020-06-07,26
"öffnungszeiten",2020-06-14,20
"öffnungszeiten",2020-06-21,24
"öffnungszeiten",2020-06-28,26
"öffnungszeiten",2020-07-05,28
"öffnungszeiten",2020-07-12,27
"öffnungszeiten",2020-07-19,25
"öffnungszeiten",2020-07-26,38
"öffnungszeiten",2020-08-02,26
"öffnungszeiten",2020-08-09,27
"öffnungszeiten",2020-08-16,22
"öffnungszeiten",2020-08-23,21
"öffnungszeiten",2020-08-30,23
"öffnungszeiten",2020-09-06,26
"öffnungszeiten",2020-09-13,24
"öffnungszeiten",2020-09-20,22
"öffnungszeiten",2020-09-27,27
"öffnungszeiten",2020-10-04,25
"öffnungszeiten",2020-10-11,24
"öffnungszeiten",2020-10-18,16
"shopping center",2018-10-21,25
"shopping center",2018-10-28,27
"shopping center",2018-11-04,22
"shopping center",2018-11-11,25
"shopping center",2018-11-18,21
"shopping center",2018-11-25,40
"shopping center",2018-12-02,26
"shopping center",2018-12-09,39
"shopping center",2018-12-16,45
"shopping center",2018-12-23,100
"shopping center",2018-12-30,62
"shopping center",2019-01-06,15
"shopping center",2019-01-13,25
"shopping center",2019-01-20,24
"shopping center",2019-01-27,34
"shopping center",2019-02-03,13
"shopping center",2019-02-10,36
"shopping center",2019-02-17,22
"shopping center",2019-02-24,25
"shopping center",2019-03-03,26
"shopping center",2019-03-10,21
"shopping center",2019-03-17,26
"shopping center",2019-03-24,8
"shopping center",2019-03-31,12
"shopping center",2019-04-07,27
"shopping center",2019-04-14,42
"shopping center",2019-04-21,38
"shopping center",2019-04-28,37
"shopping center",2019-05-05,20
"shopping center",2019-05-12,12
"shopping center",2019-05-19,29
"shopping center",2019-05-26,40
"shopping center",2019-06-02,28
"shopping center",2019-06-09,17
"shopping center",2019-06-16,0
"shopping center",2019-06-23,40
"shopping center",2019-06-30,21
"shopping center",2019-07-07,25
"shopping center",2019-07-14,56
"shopping center",2019-07-21,36
"shopping center",2019-07-28,27
"shopping center",2019-08-04,19
"shopping center",2019-08-11,35
"shopping center",2019-08-18,21
"shopping center",2019-08-25,17
"shopping center",2019-09-01,30
"shopping center",2019-09-08,29
"shopping center",2019-09-15,20
"shopping center",2019-09-22,28
"shopping center",2019-09-29,28
"shopping center",2019-10-06,68
"shopping center",2019-10-13,46
"shopping center",2019-10-20,44
"shopping center",2019-10-27,47
"shopping center",2019-11-03,31
"shopping center",2019-11-10,33
"shopping center",2019-11-17,16
"shopping center",2019-11-24,58
"shopping center",2019-12-01,60
"shopping center",2019-12-08,47
"shopping center",2019-12-15,33
"shopping center",2019-12-22,83
"shopping center",2019-12-29,44
"shopping center",2020-01-05,24
"shopping center",2020-01-12,23
"shopping center",2020-01-19,8
"shopping center",2020-01-26,15
"shopping center",2020-02-02,12
"shopping center",2020-02-09,20
"shopping center",2020-02-16,24
"shopping center",2020-02-23,22
"shopping center",2020-03-01,15
"shopping center",2020-03-08,7
"shopping center",2020-03-15,15
"shopping center",2020-03-22,7
"shopping center",2020-03-29,0
"shopping center",2020-04-05,8
"shopping center",2020-04-12,16
"shopping center",2020-04-19,8
"shopping center",2020-04-26,7
"shopping center",2020-05-03,8
"shopping center",2020-05-10,22
"shopping center",2020-05-17,0
"shopping center",2020-05-24,26
"shopping center",2020-05-31,18
"shopping center",2020-06-07,11
"shopping center",2020-06-14,7
"shopping center",2020-06-21,19
"shopping center",2020-06-28,8
"shopping center",2020-07-05,12
"shopping center",2020-07-12,16
"shopping center",2020-07-19,21
"shopping center",2020-07-26,26
"shopping center",2020-08-02,37
"shopping center",2020-08-09,31
"shopping center",2020-08-16,23
"shopping center",2020-08-23,27
"shopping center",2020-08-30,15
"shopping center",2020-09-06,23
"shopping center",2020-09-13,15
"shopping center",2020-09-20,37
"shopping center",2020-09-27,15
"shopping center",2020-10-04,12
"shopping center",2020-10-11,42
"shopping center",2020-10-18,30
"maskenpflicht",2018-10-21,0
"maskenpflicht",2018-10-28,0
"maskenpflicht",2018-11-04,0
"maskenpflicht",2018-11-11,0
"maskenpflicht",2018-11-18,0
"maskenpflicht",2018-11-25,0
"maskenpflicht",2018-12-02,0
"maskenpflicht",2018-12-09,0
"maskenpflicht",2018-12-16,0
"maskenpflicht",2018-12-23,0
"maskenpflicht",2018-12-30,0
"maskenpflicht",2019-01-06,0
"maskenpflicht",2019-01-13,0
"maskenpflicht",2019-01-20,0
"maskenpflicht",2019-01-27,0
"maskenpflicht",2019-02-03,0
"maskenpflicht",2019-02-10,0
"maskenpflicht",2019-02-17,0
"maskenpflicht",2019-02-24,0
"maskenpflicht",2019-03-03,0
"maskenpflicht",2019-03-10,0
"maskenpflicht",2019-03-17,0
"maskenpflicht",2019-03-24,0
"maskenpflicht",2019-03-31,0
"maskenpflicht",2019-04-07,0
"maskenpflicht",2019-04-14,0
"maskenpflicht",2019-04-21,0
"maskenpflicht",2019-04-28,0
"maskenpflicht",2019-05-05,0
"maskenpflicht",2019-05-12,0
"maskenpflicht",2019-05-19,0
