"id","time","value"
"Velo kaufen",2017-01-01,12
"Velo kaufen",2017-01-08,12
"Velo kaufen",2017-01-15,11
"Velo kaufen",2017-01-22,8
"Velo kaufen",2017-01-29,19
"Velo kaufen",2017-02-05,14
"Velo kaufen",2017-02-12,20
"Velo kaufen",2017-02-19,20
"Velo kaufen",2017-02-26,25
"Velo kaufen",2017-03-05,21
"Velo kaufen",2017-03-12,44
"Velo kaufen",2017-03-19,33
"Velo kaufen",2017-03-26,47
"Velo kaufen",2017-04-02,37
"Velo kaufen",2017-04-09,29
"Velo kaufen",2017-04-16,18
"Velo kaufen",2017-04-23,15
"Velo kaufen",2017-04-30,36
"Velo kaufen",2017-05-07,24
"Velo kaufen",2017-05-14,19
"Velo kaufen",2017-05-21,34
"Velo kaufen",2017-05-28,37
"Velo kaufen",2017-06-04,23
"Velo kaufen",2017-06-11,24
"Velo kaufen",2017-06-18,24
"Velo kaufen",2017-06-25,13
"Velo kaufen",2017-07-02,17
"Velo kaufen",2017-07-09,24
"Velo kaufen",2017-07-16,22
"Velo kaufen",2017-07-23,20
"Velo kaufen",2017-07-30,28
"Velo kaufen",2017-08-06,21
"Velo kaufen",2017-08-13,29
"Velo kaufen",2017-08-20,30
"Velo kaufen",2017-08-27,19
"Velo kaufen",2017-09-03,15
"Velo kaufen",2017-09-10,24
"Velo kaufen",2017-09-17,17
"Velo kaufen",2017-09-24,35
"Velo kaufen",2017-10-01,21
"Velo kaufen",2017-10-08,9
"Velo kaufen",2017-10-15,12
"Velo kaufen",2017-10-22,15
"Velo kaufen",2017-10-29,10
"Velo kaufen",2017-11-05,6
"Velo kaufen",2017-11-12,6
"Velo kaufen",2017-11-19,10
"Velo kaufen",2017-11-26,11
"Velo kaufen",2017-12-03,11
"Velo kaufen",2017-12-10,6
"Velo kaufen",2017-12-17,9
"Velo kaufen",2017-12-24,11
"Velo kaufen",2017-12-31,8
"Velo kaufen",2018-01-07,12
"Velo kaufen",2018-01-14,7
"Velo kaufen",2018-01-21,12
"Velo kaufen",2018-01-28,7
"Velo kaufen",2018-02-04,7
"Velo kaufen",2018-02-11,9
"Velo kaufen",2018-02-18,13
"Velo kaufen",2018-02-25,7
"Velo kaufen",2018-03-04,15
"Velo kaufen",2018-03-11,21
"Velo kaufen",2018-03-18,24
"Velo kaufen",2018-03-25,20
"Velo kaufen",2018-04-01,27
"Velo kaufen",2018-04-08,28
"Velo kaufen",2018-04-15,24
"Velo kaufen",2018-04-22,51
"Velo kaufen",2018-04-29,38
"Velo kaufen",2018-05-06,41
"Velo kaufen",2018-05-13,24
"Velo kaufen",2018-05-20,27
"Velo kaufen",2018-05-27,29
"Velo kaufen",2018-06-03,24
"Velo kaufen",2018-06-10,22
"Velo kaufen",2018-06-17,23
"Velo kaufen",2018-06-24,19
"Velo kaufen",2018-07-01,19
"Velo kaufen",2018-07-08,28
"Velo kaufen",2018-07-15,26
"Velo kaufen",2018-07-22,10
"Velo kaufen",2018-07-29,34
"Velo kaufen",2018-08-05,20
"Velo kaufen",2018-08-12,28
"Velo kaufen",2018-08-19,19
"Velo kaufen",2018-08-26,28
"Velo kaufen",2018-09-02,23
"Velo kaufen",2018-09-09,14
"Velo kaufen",2018-09-16,20
"Velo kaufen",2018-09-23,15
"Velo kaufen",2018-09-30,21
"Velo kaufen",2018-10-07,21
"Velo kaufen",2018-10-14,18
"Velo kaufen",2018-10-21,13
"Velo kaufen",2018-10-28,10
"Velo kaufen",2018-11-04,12
"Velo kaufen",2018-11-11,8
"Velo kaufen",2018-11-18,10
"Velo kaufen",2018-11-25,6
"Velo kaufen",2018-12-02,11
"Velo kaufen",2018-12-09,6
"Velo kaufen",2018-12-16,7
"Velo kaufen",2018-12-23,16
"Velo kaufen",2018-12-30,14
"Velo kaufen",2019-01-06,20
"Velo kaufen",2019-01-13,8
"Velo kaufen",2019-01-20,9
"Velo kaufen",2019-01-27,9
"Velo kaufen",2019-02-03,8
"Velo kaufen",2019-02-10,13
"Velo kaufen",2019-02-17,24
"Velo kaufen",2019-02-24,17
"Velo kaufen",2019-03-03,18
"Velo kaufen",2019-03-10,15
"Velo kaufen",2019-03-17,25
"Velo kaufen",2019-03-24,29
"Velo kaufen",2019-03-31,19
"Velo kaufen",2019-04-07,21
"Velo kaufen",2019-04-14,18
"Velo kaufen",2019-04-21,17
"Velo kaufen",2019-04-28,24
"Velo kaufen",2019-05-05,24
"Velo kaufen",2019-05-12,23
