"id","time","value"
"spielplan",2016-01-03,5
"spielplan",2016-01-10,4
"spielplan",2016-01-17,4
"spielplan",2016-01-24,4
"spielplan",2016-01-31,5
"spielplan",2016-02-07,5
"spielplan",2016-02-14,5
"spielplan",2016-02-21,5
"spielplan",2016-02-28,6
"spielplan",2016-03-06,7
"spielplan",2016-03-13,7
"spielplan",2016-03-20,5
"spielplan",2016-03-27,5
"spielplan",2016-04-03,5
"spielplan",2016-04-10,5
"spielplan",2016-04-17,5
"spielplan",2016-04-24,6
"spielplan",2016-05-01,6
"spielplan",2016-05-08,8
"spielplan",2016-05-15,8
"spielplan",2016-05-22,8
"spielplan",2016-05-29,12
"spielplan",2016-06-05,40
"spielplan",2016-06-12,88
"spielplan",2016-06-19,84
"spielplan",2016-06-26,68
"spielplan",2016-07-03,28
"spielplan",2016-07-10,6
"spielplan",2016-07-17,3
"spielplan",2016-07-24,5
"spielplan",2016-07-31,4
"spielplan",2016-08-07,5
"spielplan",2016-08-14,5
"spielplan",2016-08-21,5
"spielplan",2016-08-28,6
"spielplan",2016-09-04,7
"spielplan",2016-09-11,6
"spielplan",2016-09-18,6
"spielplan",2016-09-25,7
"spielplan",2016-10-02,7
"spielplan",2016-10-09,7
"spielplan",2016-10-16,6
"spielplan",2016-10-23,7
"spielplan",2016-10-30,5
"spielplan",2016-11-06,5
"spielplan",2016-11-13,5
"spielplan",2016-11-20,4
"spielplan",2016-11-27,4
"spielplan",2016-12-04,4
"spielplan",2016-12-11,3
"spielplan",2016-12-18,4
"spielplan",2016-12-25,9
"spielplan",2017-01-01,4
"spielplan",2017-01-08,4
"spielplan",2017-01-15,4
"spielplan",2017-01-22,5
"spielplan",2017-01-29,5
"spielplan",2017-02-05,4
"spielplan",2017-02-12,4
"spielplan",2017-02-19,5
"spielplan",2017-02-26,5
"spielplan",2017-03-05,5
"spielplan",2017-03-12,5
"spielplan",2017-03-19,5
"spielplan",2017-03-26,4
"spielplan",2017-04-02,5
"spielplan",2017-04-09,5
"spielplan",2017-04-16,5
"spielplan",2017-04-23,4
"spielplan",2017-04-30,4
"spielplan",2017-05-07,5
"spielplan",2017-05-14,7
"spielplan",2017-05-21,4
"spielplan",2017-05-28,3
"spielplan",2017-06-04,3
"spielplan",2017-06-11,3
"spielplan",2017-06-18,4
"spielplan",2017-06-25,4
"spielplan",2017-07-02,5
"spielplan",2017-07-09,5
"spielplan",2017-07-16,5
"spielplan",2017-07-23,4
"spielplan",2017-07-30,6
"spielplan",2017-08-06,5
"spielplan",2017-08-13,5
"spielplan",2017-08-20,5
"spielplan",2017-08-27,7
"spielplan",2017-09-03,9
"spielplan",2017-09-10,8
"spielplan",2017-09-17,7
"spielplan",2017-09-24,7
"spielplan",2017-10-01,7
"spielplan",2017-10-08,6
"spielplan",2017-10-15,8
"spielplan",2017-10-22,10
"spielplan",2017-10-29,7
"spielplan",2017-11-05,5
"spielplan",2017-11-12,6
"spielplan",2017-11-19,8
"spielplan",2017-11-26,7
"spielplan",2017-12-03,8
"spielplan",2017-12-10,5
"spielplan",2017-12-17,5
"spielplan",2017-12-24,10
"spielplan",2017-12-31,5
"spielplan",2018-01-07,4
"spielplan",2018-01-14,6
"spielplan",2018-01-21,6
"spielplan",2018-01-28,6
"spielplan",2018-02-04,6
"spielplan",2018-02-11,9
"spielplan",2018-02-18,9
"spielplan",2018-02-25,6
"spielplan",2018-03-04,8
"spielplan",2018-03-11,9
"spielplan",2018-03-18,6
"spielplan",2018-03-25,6
"spielplan",2018-04-01,9
"spielplan",2018-04-08,8
"spielplan",2018-04-15,8
"spielplan",2018-04-22,6
"spielplan",2018-04-29,7
"spielplan",2018-05-06,10
"spielplan",2018-05-13,13
"spielplan",2018-05-20,9
"spielplan",2018-05-27,12
"spielplan",2018-06-03,19
"spielplan",2018-06-10,70
"spielplan",2018-06-17,100
"spielplan",2018-06-24,85
"spielplan",2018-07-01,70
"spielplan",2018-07-08,33
"spielplan",2018-07-15,9
"spielplan",2018-07-22,5
"spielplan",2018-07-29,5
"spielplan",2018-08-05,5
"spielplan",2018-08-12,5
"spielplan",2018-08-19,5
"spielplan",2018-08-26,10
"spielplan",2018-09-02,9
"spielplan",2018-09-09,7
"spielplan",2018-09-16,8
"spielplan",2018-09-23,7
"spielplan",2018-09-30,7
"spielplan",2018-10-07,7
"spielplan",2018-10-14,7
"spielplan",2018-10-21,9
"spielplan",2018-10-28,7
"spielplan",2018-11-04,5
"spielplan",2018-11-11,5
"spielplan",2018-11-18,5
"spielplan",2018-11-25,5
"spielplan",2018-12-02,5
"spielplan",2018-12-09,5
"spielplan",2018-12-16,5
"spielplan",2018-12-23,9
"spielplan",2018-12-30,7
"spielplan",2019-01-06,4
"spielplan",2019-01-13,8
"spielplan",2019-01-20,9
"spielplan",2019-01-27,5
"spielplan",2019-02-03,5
"spielplan",2019-02-10,5
"spielplan",2019-02-17,6
"spielplan",2019-02-24,6
"spielplan",2019-03-03,6
"spielplan",2019-03-10,8
"spielplan",2019-03-17,7
"spielplan",2019-03-24,6
"spielplan",2019-03-31,6
"spielplan",2019-04-07,5
"spielplan",2019-04-14,6
"spielplan",2019-04-21,4
"spielplan",2019-04-28,5
"spielplan",2019-05-05,6
"spielplan",2019-05-12,9
"spielplan",2019-05-19,7
"spielplan",2019-05-26,5
"spielplan",2019-06-02,5
