"id","time","value"
"öffnungszeiten",2020-05-31,31
"öffnungszeiten",2020-06-07,30
"öffnungszeiten",2020-06-14,28
"öffnungszeiten",2020-06-21,33
"öffnungszeiten",2020-06-28,33
"öffnungszeiten",2020-07-05,32
"öffnungszeiten",2020-07-12,33
"öffnungszeiten",2020-07-19,31
"öffnungszeiten",2020-07-26,48
"öffnungszeiten",2020-08-02,32
"öffnungszeiten",2020-08-09,33
"öffnungszeiten",2020-08-16,27
"öffnungszeiten",2020-08-23,28
"öffnungszeiten",2020-08-30,28
"öffnungszeiten",2020-09-06,27
"öffnungszeiten",2020-09-13,27
"öffnungszeiten",2020-09-20,27
"öffnungszeiten",2020-09-27,30
"öffnungszeiten",2020-10-04,29
"öffnungszeiten",2020-10-11,28
"öffnungszeiten",2020-10-18,22
"shopping center",2018-10-21,23
"shopping center",2018-10-28,31
"shopping center",2018-11-04,28
"shopping center",2018-11-11,31
"shopping center",2018-11-18,26
"shopping center",2018-11-25,33
"shopping center",2018-12-02,49
"shopping center",2018-12-09,45
"shopping center",2018-12-16,49
"shopping center",2018-12-23,100
"shopping center",2018-12-30,69
"shopping center",2019-01-06,16
"shopping center",2019-01-13,24
"shopping center",2019-01-20,12
"shopping center",2019-01-27,23
"shopping center",2019-02-03,19
"shopping center",2019-02-10,16
"shopping center",2019-02-17,23
"shopping center",2019-02-24,19
"shopping center",2019-03-03,24
"shopping center",2019-03-10,18
"shopping center",2019-03-17,17
"shopping center",2019-03-24,19
"shopping center",2019-03-31,19
"shopping center",2019-04-07,24
"shopping center",2019-04-14,21
"shopping center",2019-04-21,24
"shopping center",2019-04-28,34
"shopping center",2019-05-05,28
"shopping center",2019-05-12,19
"shopping center",2019-05-19,23
"shopping center",2019-05-26,40
"shopping center",2019-06-02,19
"shopping center",2019-06-09,24
"shopping center",2019-06-16,31
"shopping center",2019-06-23,23
"shopping center",2019-06-30,20
"shopping center",2019-07-07,32
"shopping center",2019-07-14,44
"shopping center",2019-07-21,26
"shopping center",2019-07-28,39
"shopping center",2019-08-04,36
"shopping center",2019-08-11,31
"shopping center",2019-08-18,14
"shopping center",2019-08-25,17
"shopping center",2019-09-01,38
"shopping center",2019-09-08,23
"shopping center",2019-09-15,29
"shopping center",2019-09-22,31
"shopping center",2019-09-29,38
"shopping center",2019-10-06,21
"shopping center",2019-10-13,35
"shopping center",2019-10-20,30
"shopping center",2019-10-27,37
"shopping center",2019-11-03,32
"shopping center",2019-11-10,16
"shopping center",2019-11-17,19
"shopping center",2019-11-24,42
"shopping center",2019-12-01,37
"shopping center",2019-12-08,19
"shopping center",2019-12-15,42
"shopping center",2019-12-22,60
"shopping center",2019-12-29,53
"shopping center",2020-01-05,17
"shopping center",2020-01-12,15
"shopping center",2020-01-19,17
"shopping center",2020-01-26,14
"shopping center",2020-02-02,18
"shopping center",2020-02-09,29
"shopping center",2020-02-16,10
"shopping center",2020-02-23,20
"shopping center",2020-03-01,9
"shopping center",2020-03-08,15
"shopping center",2020-03-15,23
"shopping center",2020-03-22,5
"shopping center",2020-03-29,9
"shopping center",2020-04-05,3
"shopping center",2020-04-12,8
"shopping center",2020-04-19,3
"shopping center",2020-04-26,7
"shopping center",2020-05-03,7
"shopping center",2020-05-10,22
"shopping center",2020-05-17,19
"shopping center",2020-05-24,19
"shopping center",2020-05-31,16
"shopping center",2020-06-07,31
"shopping center",2020-06-14,16
"shopping center",2020-06-21,14
"shopping center",2020-06-28,30
"shopping center",2020-07-05,26
"shopping center",2020-07-12,27
"shopping center",2020-07-19,24
"shopping center",2020-07-26,23
"shopping center",2020-08-02,39
"shopping center",2020-08-09,27
"shopping center",2020-08-16,19
"shopping center",2020-08-23,18
"shopping center",2020-08-30,24
"shopping center",2020-09-06,21
"shopping center",2020-09-13,16
"shopping center",2020-09-20,33
"shopping center",2020-09-27,35
"shopping center",2020-10-04,25
"shopping center",2020-10-11,28
"shopping center",2020-10-18,9
"maskenpflicht",2018-10-21,0
"maskenpflicht",2018-10-28,0
"maskenpflicht",2018-11-04,0
"maskenpflicht",2018-11-11,0
"maskenpflicht",2018-11-18,0
"maskenpflicht",2018-11-25,0
"maskenpflicht",2018-12-02,0
"maskenpflicht",2018-12-09,0
"maskenpflicht",2018-12-16,0
"maskenpflicht",2018-12-23,0
"maskenpflicht",2018-12-30,0
"maskenpflicht",2019-01-06,0
"maskenpflicht",2019-01-13,0
"maskenpflicht",2019-01-20,0
"maskenpflicht",2019-01-27,0
"maskenpflicht",2019-02-03,0
"maskenpflicht",2019-02-10,0
"maskenpflicht",2019-02-17,0
"maskenpflicht",2019-02-24,0
"maskenpflicht",2019-03-03,0
"maskenpflicht",2019-03-10,0
"maskenpflicht",2019-03-17,0
"maskenpflicht",2019-03-24,0
"maskenpflicht",2019-03-31,0
"maskenpflicht",2019-04-07,0
"maskenpflicht",2019-04-14,0
"maskenpflicht",2019-04-21,0
"maskenpflicht",2019-04-28,0
"maskenpflicht",2019-05-05,0
"maskenpflicht",2019-05-12,0
"maskenpflicht",2019-05-19,0
"maskenpflicht",2019-05-26,0
"maskenpflicht",2019-06-02,0
"maskenpflicht",2019-06-09,0
"maskenpflicht",2019-06-16,0
"maskenpflicht",2019-06-23,0
"maskenpflicht",2019-06-30,0
"maskenpflicht",2019-07-07,0
"maskenpflicht",2019-07-14,0
"maskenpflicht",2019-07-21,0
"maskenpflicht",2019-07-28,0
"maskenpflicht",2019-08-04,0
"maskenpflicht",2019-08-11,0
"maskenpflicht",2019-08-18,0
"maskenpflicht",2019-08-25,0
"maskenpflicht",2019-09-01,0
"maskenpflicht",2019-09-08,0
"maskenpflicht",2019-09-15,0
"maskenpflicht",2019-09-22,0
"maskenpflicht",2019-09-29,0
"maskenpflicht",2019-10-06,0
"maskenpflicht",2019-10-13,0
"maskenpflicht",2019-10-20,0
"maskenpflicht",2019-10-27,0
"maskenpflicht",2019-11-03,0
"maskenpflicht",2019-11-10,0
"maskenpflicht",2019-11-17,0
"maskenpflicht",2019-11-24,0
"maskenpflicht",2019-12-01,0
"maskenpflicht",2019-12-08,0
"maskenpflicht",2019-12-15,0
"maskenpflicht",2019-12-22,0
"maskenpflicht",2019-12-29,0
"maskenpflicht",2020-01-05,0
"maskenpflicht",2020-01-12,0
"maskenpflicht",2020-01-19,0
"maskenpflicht",2020-01-26,0
"maskenpflicht",2020-02-02,0
"maskenpflicht",2020-02-09,0
"maskenpflicht",2020-02-16,0
"maskenpflicht",2020-02-23,0
"maskenpflicht",2020-03-01,0
"maskenpflicht",2020-03-08,0
"maskenpflicht",2020-03-15,0
"maskenpflicht",2020-03-22,0
"maskenpflicht",2020-03-29,2
"maskenpflicht",2020-04-05,1
"maskenpflicht",2020-04-12,1
"maskenpflicht",2020-04-19,6
"maskenpflicht",2020-04-26,5
"maskenpflicht",2020-05-03,2
"maskenpflicht",2020-05-10,2
"maskenpflicht",2020-05-17,3
"maskenpflicht",2020-05-24,4
"maskenpflicht",2020-05-31,4
"maskenpflicht",2020-06-07,5
"maskenpflicht",2020-06-14,13
"maskenpflicht",2020-06-21,10
"maskenpflicht",2020-06-28,45
"maskenpflicht",2020-07-05,25
"maskenpflicht",2020-07-12,22
"maskenpflicht",2020-07-19,23
"maskenpflicht",2020-07-26,18
"maskenpflicht",2020-08-02,15
"maskenpflicht",2020-08-09,12
"maskenpflicht",2020-08-16,18
"maskenpflicht",2020-08-23,61
"maskenpflicht",2020-08-30,29
"maskenpflicht",2020-09-06,19
"maskenpflicht",2020-09-13,18
"maskenpflicht",2020-09-20,13
"maskenpflicht",2020-09-27,15
"maskenpflicht",2020-10-04,51
"maskenpflicht",2020-10-11,75
"maskenpflicht",2020-10-18,100
"coop at home",2018-10-21,5
"coop at home",2018-10-28,4
"coop at home",2018-11-04,3
"coop at home",2018-11-11,6
"coop at home",2018-11-18,6
"coop at home",2018-11-25,7
"coop at home",2018-12-02,5
"coop at home",2018-12-09,6
"coop at home",2018-12-16,7
"coop at home",2018-12-23,4
"coop at home",2018-12-30,4
"coop at home",2019-01-06,5
"coop at home",2019-01-13,4
"coop at home",2019-01-20,5
"coop at home",2019-01-27,5
"coop at home",2019-02-03,5
"coop at home",2019-02-10,5
"coop at home",2019-02-17,4
"coop at home",2019-02-24,4
"coop at home",2019-03-03,5
"coop at home",2019-03-10,5
"coop at home",2019-03-17,4
"coop at home",2019-03-24,5
"coop at home",2019-03-31,5
"coop at home",2019-04-07,4
"coop at home",2019-04-14,6
"coop at home",2019-04-21,4
"coop at home",2019-04-28,5
"coop at home",2019-05-05,5
"coop at home",2019-05-12,4
"coop at home",2019-05-19,5
"coop at home",2019-05-26,6
"coop at home",2019-06-02,4
"coop at home",2019-06-09,5
"coop at home",2019-06-16,5
"coop at home",2019-06-23,6
"coop at home",2019-06-30,6
"coop at home",2019-07-07,5
"coop at home",2019-07-14,5
"coop at home",2019-07-21,5
"coop at home",2019-07-28,6
"coop at home",2019-08-04,4
"coop at home",2019-08-11,5
"coop at home",2019-08-18,4
"coop at home",2019-08-25,6
"coop at home",2019-09-01,5
"coop at home",2019-09-08,6
"coop at home",2019-09-15,5
"coop at home",2019-09-22,5
"coop at home",2019-09-29,3
"coop at home",2019-10-06,4
"coop at home",2019-10-13,4
"coop at home",2019-10-20,7
"coop at home",2019-10-27,6
"coop at home",2019-11-03,5
"coop at home",2019-11-10,7
"coop at home",2019-11-17,6
"coop at home",2019-11-24,6
"coop at home",2019-12-01,6
"coop at home",2019-12-08,6
"coop at home",2019-12-15,5
"coop at home",2019-12-22,5
"coop at home",2019-12-29,6
"coop at home",2020-01-05,6
"coop at home",2020-01-12,5
"coop at home",2020-01-19,3
"coop at home",2020-01-26,6
"coop at home",2020-02-02,4
"coop at home",2020-02-09,7
"coop at home",2020-02-16,5
"coop at home",2020-02-23,16
"coop at home",2020-03-01,10
"coop at home",2020-03-08,30
