"id","time","value"
"Brot backen",2018-01-07,22
"Brot backen",2018-01-14,12
"Brot backen",2018-01-21,10
"Brot backen",2018-01-28,8
"Brot backen",2018-02-04,8
"Brot backen",2018-02-11,11
"Brot backen",2018-02-18,14
"Brot backen",2018-02-25,6
"Brot backen",2018-03-04,14
"Brot backen",2018-03-11,9
"Brot backen",2018-03-18,10
"Brot backen",2018-03-25,13
"Brot backen",2018-04-01,12
"Brot backen",2018-04-08,7
"Brot backen",2018-04-15,11
"Brot backen",2018-04-22,6
"Brot backen",2018-04-29,9
"Brot backen",2018-05-06,14
"Brot backen",2018-05-13,10
"Brot backen",2018-05-20,8
"Brot backen",2018-05-27,8
"Brot backen",2018-06-03,7
"Brot backen",2018-06-10,7
"Brot backen",2018-06-17,7
"Brot backen",2018-06-24,10
"Brot backen",2018-07-01,5
"Brot backen",2018-07-08,7
"Brot backen",2018-07-15,12
"Brot backen",2018-07-22,8
"Brot backen",2018-07-29,13
"Brot backen",2018-08-05,6
"Brot backen",2018-08-12,9
"Brot backen",2018-08-19,7
"Brot backen",2018-08-26,14
"Brot backen",2018-09-02,7
"Brot backen",2018-09-09,12
"Brot backen",2018-09-16,10
"Brot backen",2018-09-23,11
"Brot backen",2018-09-30,15
"Brot backen",2018-10-07,8
"Brot backen",2018-10-14,12
"Brot backen",2018-10-21,6
"Brot backen",2018-10-28,16
"Brot backen",2018-11-04,4
"Brot backen",2018-11-11,14
"Brot backen",2018-11-18,6
"Brot backen",2018-11-25,14
"Brot backen",2018-12-02,5
"Brot backen",2018-12-09,13
"Brot backen",2018-12-16,7
"Brot backen",2018-12-23,24
"Brot backen",2018-12-30,20
"Brot backen",2019-01-06,11
"Brot backen",2019-01-13,8
"Brot backen",2019-01-20,18
"Brot backen",2019-01-27,18
"Brot backen",2019-02-03,15
"Brot backen",2019-02-10,10
"Brot backen",2019-02-17,12
"Brot backen",2019-02-24,5
"Brot backen",2019-03-03,12
"Brot backen",2019-03-10,17
"Brot backen",2019-03-17,13
"Brot backen",2019-03-24,15
"Brot backen",2019-03-31,11
"Brot backen",2019-04-07,15
"Brot backen",2019-04-14,19
"Brot backen",2019-04-21,10
"Brot backen",2019-04-28,11
"Brot backen",2019-05-05,17
"Brot backen",2019-05-12,13
"Brot backen",2019-05-19,19
"Brot backen",2019-05-26,5
"Brot backen",2019-06-02,11
"Brot backen",2019-06-09,22
"Brot backen",2019-06-16,5
"Brot backen",2019-06-23,6
"Brot backen",2019-06-30,7
"Brot backen",2019-07-07,4
"Brot backen",2019-07-14,3
"Brot backen",2019-07-21,9
"Brot backen",2019-07-28,8
"Brot backen",2019-08-04,6
"Brot backen",2019-08-11,9
"Brot backen",2019-08-18,7
"Brot backen",2019-08-25,8
"Brot backen",2019-09-01,10
"Brot backen",2019-09-08,18
"Brot backen",2019-09-15,5
"Brot backen",2019-09-22,9
"Brot backen",2019-09-29,18
"Brot backen",2019-10-06,10
"Brot backen",2019-10-13,17
"Brot backen",2019-10-20,19
"Brot backen",2019-10-27,14
"Brot backen",2019-11-03,13
"Brot backen",2019-11-10,13
"Brot backen",2019-11-17,10
"Brot backen",2019-11-24,15
"Brot backen",2019-12-01,14
"Brot backen",2019-12-08,12
"Brot backen",2019-12-15,5
"Brot backen",2019-12-22,15
"Brot backen",2019-12-29,26
"Brot backen",2020-01-05,17
"Brot backen",2020-01-12,16
"Brot backen",2020-01-19,9
"Brot backen",2020-01-26,16
"Brot backen",2020-02-02,15
"Brot backen",2020-02-09,13
"Brot backen",2020-02-16,16
"Brot backen",2020-02-23,24
"Brot backen",2020-03-01,14
"Brot backen",2020-03-08,25
"Brot backen",2020-03-15,70
"Brot backen",2020-03-22,100
"Brot backen",2020-03-29,77
"Brot backen",2020-04-05,79
"Brot backen",2020-04-12,64
"Brot backen",2020-04-19,64
"Brot backen",2020-04-26,50
"Brot backen",2020-05-03,49
"Brot backen",2020-05-10,29
"Brot backen",2020-05-17,35
"Brot backen",2020-05-24,26
"Brot backen",2020-05-31,22
"Brot backen",2020-06-07,24
"Brot backen",2020-06-14,19
"Brot backen",2020-06-21,17
"Brot backen",2020-06-28,14
"Brot backen",2020-07-05,12
"Brot backen",2020-07-12,11
"Brot backen",2020-07-19,14
"Brot backen",2020-07-26,13
"Brot backen",2020-08-02,19
"Brot backen",2020-08-09,8
"Brot backen",2020-08-16,12
"Brot backen",2020-08-23,13
"Essen bestellen",2018-01-07,32
"Essen bestellen",2018-01-14,28
"Essen bestellen",2018-01-21,38
"Essen bestellen",2018-01-28,32
"Essen bestellen",2018-02-04,47
"Essen bestellen",2018-02-11,55
"Essen bestellen",2018-02-18,25
"Essen bestellen",2018-02-25,49
"Essen bestellen",2018-03-04,28
"Essen bestellen",2018-03-11,17
"Essen bestellen",2018-03-18,35
"Essen bestellen",2018-03-25,37
"Essen bestellen",2018-04-01,20
"Essen bestellen",2018-04-08,22
"Essen bestellen",2018-04-15,27
"Essen bestellen",2018-04-22,15
"Essen bestellen",2018-04-29,33
"Essen bestellen",2018-05-06,27
"Essen bestellen",2018-05-13,14
"Essen bestellen",2018-05-20,57
"Essen bestellen",2018-05-27,40
"Essen bestellen",2018-06-03,47
"Essen bestellen",2018-06-10,18
"Essen bestellen",2018-06-17,54
"Essen bestellen",2018-06-24,22
"Essen bestellen",2018-07-01,22
"Essen bestellen",2018-07-08,35
"Essen bestellen",2018-07-15,49
"Essen bestellen",2018-07-22,21
"Essen bestellen",2018-07-29,57
"Essen bestellen",2018-08-05,28
"Essen bestellen",2018-08-12,34
"Essen bestellen",2018-08-19,29
"Essen bestellen",2018-08-26,32
"Essen bestellen",2018-09-02,48
"Essen bestellen",2018-09-09,33
"Essen bestellen",2018-09-16,14
"Essen bestellen",2018-09-23,15
"Essen bestellen",2018-09-30,37
"Essen bestellen",2018-10-07,27
"Essen bestellen",2018-10-14,23
