"id","time","value"
"Festival",2019-08-25,100
"Festival",2019-09-01,67
"Festival",2019-09-08,64
"Festival",2019-09-15,58
"Festival",2019-09-22,59
"Festival",2019-09-29,52
"Festival",2019-10-06,48
"Festival",2019-10-13,43
"Festival",2019-10-20,39
"Festival",2019-10-27,41
"Festival",2019-11-03,41
"Festival",2019-11-10,38
"Festival",2019-11-17,42
"Festival",2019-11-24,35
"Festival",2019-12-01,39
"Festival",2019-12-08,42
"Festival",2019-12-15,34
"Festival",2019-12-22,34
"Festival",2019-12-29,36
"Festival",2020-01-05,48
"Festival",2020-01-12,60
"Festival",2020-01-19,67
"Festival",2020-01-26,52
"Festival",2020-02-02,76
"Festival",2020-02-09,53
"Festival",2020-02-16,53
"Festival",2020-02-23,49
"Festival",2020-03-01,50
"Festival",2020-03-08,41
"Festival",2020-03-15,19
"Festival",2020-03-22,25
"Festival",2020-03-29,22
"Festival",2020-04-05,23
"Festival",2020-04-12,43
"Festival",2020-04-19,29
"Festival",2020-04-26,28
"Festival",2020-05-03,20
"Festival",2020-05-10,18
"Festival",2020-05-17,19
"Festival",2020-05-24,23
"Festival",2020-05-31,23
"Festival",2020-06-07,23
"Festival",2020-06-14,28
"Festival",2020-06-21,30
"Festival",2020-06-28,32
"Festival",2020-07-05,33
"Festival",2020-07-12,32
"Festival",2020-07-19,32
"Festival",2020-07-26,31
"Festival",2020-08-02,33
"Festival",2020-08-09,36
"Festival",2020-08-16,32
"Tickets kaufen",2019-08-25,67
"Tickets kaufen",2019-09-01,69
"Tickets kaufen",2019-09-08,33
"Tickets kaufen",2019-09-15,88
"Tickets kaufen",2019-09-22,71
"Tickets kaufen",2019-09-29,61
"Tickets kaufen",2019-10-06,100
"Tickets kaufen",2019-10-13,60
"Tickets kaufen",2019-10-20,42
"Tickets kaufen",2019-10-27,47
"Tickets kaufen",2019-11-03,52
"Tickets kaufen",2019-11-10,37
"Tickets kaufen",2019-11-17,32
"Tickets kaufen",2019-11-24,46
"Tickets kaufen",2019-12-01,42
"Tickets kaufen",2019-12-08,36
"Tickets kaufen",2019-12-15,27
"Tickets kaufen",2019-12-22,51
"Tickets kaufen",2019-12-29,67
"Tickets kaufen",2020-01-05,51
"Tickets kaufen",2020-01-12,30
"Tickets kaufen",2020-01-19,40
"Tickets kaufen",2020-01-26,45
"Tickets kaufen",2020-02-02,35
"Tickets kaufen",2020-02-09,61
"Tickets kaufen",2020-02-16,46
"Tickets kaufen",2020-02-23,34
"Tickets kaufen",2020-03-01,14
"Tickets kaufen",2020-03-08,18
"Tickets kaufen",2020-03-15,9
"Tickets kaufen",2020-03-22,0
"Tickets kaufen",2020-03-29,14
"Tickets kaufen",2020-04-05,10
"Tickets kaufen",2020-04-12,0
"Tickets kaufen",2020-04-19,0
"Tickets kaufen",2020-04-26,0
"Tickets kaufen",2020-05-03,9
"Tickets kaufen",2020-05-10,9
"Tickets kaufen",2020-05-17,10
"Tickets kaufen",2020-05-24,10
"Tickets kaufen",2020-05-31,9
"Tickets kaufen",2020-06-07,36
"Tickets kaufen",2020-06-14,28
"Tickets kaufen",2020-06-21,15
"Tickets kaufen",2020-06-28,20
"Tickets kaufen",2020-07-05,41
"Tickets kaufen",2020-07-12,10
"Tickets kaufen",2020-07-19,76
"Tickets kaufen",2020-07-26,27
