"id","time","value"
"qualipet",2016-01-03,44
"qualipet",2016-01-10,28
"qualipet",2016-01-17,22
"qualipet",2016-01-24,30
"qualipet",2016-01-31,27
"qualipet",2016-02-07,21
"qualipet",2016-02-14,31
"qualipet",2016-02-21,28
"qualipet",2016-02-28,23
"qualipet",2016-03-06,23
"qualipet",2016-03-13,23
"qualipet",2016-03-20,30
"qualipet",2016-03-27,28
"qualipet",2016-04-03,25
"qualipet",2016-04-10,23
"qualipet",2016-04-17,23
"qualipet",2016-04-24,35
"qualipet",2016-05-01,28
"qualipet",2016-05-08,25
"qualipet",2016-05-15,26
"qualipet",2016-05-22,25
"qualipet",2016-05-29,24
"qualipet",2016-06-05,31
"qualipet",2016-06-12,24
"qualipet",2016-06-19,31
"qualipet",2016-06-26,27
"qualipet",2016-07-03,26
"qualipet",2016-07-10,25
"qualipet",2016-07-17,43
"qualipet",2016-07-24,43
"qualipet",2016-07-31,45
"qualipet",2016-08-07,33
"qualipet",2016-08-14,35
"qualipet",2016-08-21,33
"qualipet",2016-08-28,28
"qualipet",2016-09-04,42
"qualipet",2016-09-11,25
"qualipet",2016-09-18,28
"qualipet",2016-09-25,29
"qualipet",2016-10-02,32
"qualipet",2016-10-09,30
"qualipet",2016-10-16,27
"qualipet",2016-10-23,32
"qualipet",2016-10-30,31
"qualipet",2016-11-06,25
"qualipet",2016-11-13,18
"qualipet",2016-11-20,33
"qualipet",2016-11-27,22
"qualipet",2016-12-04,23
"qualipet",2016-12-11,25
"qualipet",2016-12-18,31
"qualipet",2016-12-25,41
"qualipet",2017-01-01,32
"qualipet",2017-01-08,30
"qualipet",2017-01-15,35
"qualipet",2017-01-22,21
"qualipet",2017-01-29,32
"qualipet",2017-02-05,35
"qualipet",2017-02-12,34
"qualipet",2017-02-19,28
"qualipet",2017-02-26,35
"qualipet",2017-03-05,24
"qualipet",2017-03-12,30
"qualipet",2017-03-19,26
"qualipet",2017-03-26,33
"qualipet",2017-04-02,20
"qualipet",2017-04-09,22
"qualipet",2017-04-16,32
"qualipet",2017-04-23,37
"qualipet",2017-04-30,29
"qualipet",2017-05-07,23
"qualipet",2017-05-14,29
"qualipet",2017-05-21,21
"qualipet",2017-05-28,26
"qualipet",2017-06-04,29
"qualipet",2017-06-11,27
"qualipet",2017-06-18,34
"qualipet",2017-06-25,22
"qualipet",2017-07-02,36
"qualipet",2017-07-09,32
"qualipet",2017-07-16,36
"qualipet",2017-07-23,39
"qualipet",2017-07-30,52
"qualipet",2017-08-06,35
"qualipet",2017-08-13,31
"qualipet",2017-08-20,29
"qualipet",2017-08-27,35
"qualipet",2017-09-03,29
"qualipet",2017-09-10,34
"qualipet",2017-09-17,37
"qualipet",2017-09-24,26
"qualipet",2017-10-01,32
"qualipet",2017-10-08,19
"qualipet",2017-10-15,36
"qualipet",2017-10-22,32
"qualipet",2017-10-29,35
"qualipet",2017-11-05,31
"qualipet",2017-11-12,27
"qualipet",2017-11-19,38
"qualipet",2017-11-26,35
"qualipet",2017-12-03,41
"qualipet",2017-12-10,25
"qualipet",2017-12-17,38
"qualipet",2017-12-24,29
"qualipet",2017-12-31,32
"qualipet",2018-01-07,27
"qualipet",2018-01-14,29
"qualipet",2018-01-21,30
"qualipet",2018-01-28,35
"qualipet",2018-02-04,36
"qualipet",2018-02-11,20
"qualipet",2018-02-18,33
"qualipet",2018-02-25,33
"qualipet",2018-03-04,17
"qualipet",2018-03-11,34
"qualipet",2018-03-18,32
"qualipet",2018-03-25,35
"qualipet",2018-04-01,35
"qualipet",2018-04-08,28
"qualipet",2018-04-15,26
"qualipet",2018-04-22,28
"qualipet",2018-04-29,35
"qualipet",2018-05-06,38
"qualipet",2018-05-13,22
"qualipet",2018-05-20,25
"qualipet",2018-05-27,38
"qualipet",2018-06-03,26
"qualipet",2018-06-10,29
"qualipet",2018-06-17,16
"qualipet",2018-06-24,38
"qualipet",2018-07-01,31
"qualipet",2018-07-08,29
"qualipet",2018-07-15,27
"qualipet",2018-07-22,32
"qualipet",2018-07-29,36
"qualipet",2018-08-05,38
"qualipet",2018-08-12,30
"qualipet",2018-08-19,39
"qualipet",2018-08-26,37
"qualipet",2018-09-02,31
"qualipet",2018-09-09,33
"qualipet",2018-09-16,27
"qualipet",2018-09-23,41
"qualipet",2018-09-30,37
"qualipet",2018-10-07,41
"qualipet",2018-10-14,32
"qualipet",2018-10-21,46
"qualipet",2018-10-28,41
"qualipet",2018-11-04,39
"qualipet",2018-11-11,31
"qualipet",2018-11-18,62
"qualipet",2018-11-25,37
"qualipet",2018-12-02,31
"qualipet",2018-12-09,27
"qualipet",2018-12-16,39
"qualipet",2018-12-23,42
"qualipet",2018-12-30,48
"qualipet",2019-01-06,28
"qualipet",2019-01-13,30
"qualipet",2019-01-20,36
"qualipet",2019-01-27,29
"qualipet",2019-02-03,29
"qualipet",2019-02-10,29
"qualipet",2019-02-17,23
